rank,csa_code,csa_title,population_2023,zhvi,zori,price_to_rent,appreciation_since_2000
130,146,"Bloomsburg-Berwick-Sunbury, PA",255178,227611,1161,16.3,1.63
131,454,"Redding-Red Bluff, CA",245262,360673,1600,18.8,3.16
132,279,"Hattiesburg-Laurel, MS",238003,196293,1317,12.4,1.46
133,309,"Joplin-Miami, MO-OK-KS",235074,204202,1275,13.3,2.56
134,524,"State College-DuBois, PA",234885,280365,1448,16.1,2.13
135,232,"Eau Claire-Menomonie, WI",220667,317482,1191,22.2,2.09
136,444,"Pueblo-Cañon City, CO",219740,299643,1347,18.5,2.5
137,274,"Greenville-Washington, NC",219600,241528,1347,14.9,1.86
138,360,"Mansfield-Ashland-Bucyrus, OH",218783,198634,874,18.9,2.27
139,338,"Lima-Van Wert-Celina, OH",218031,214697,1184,15.1,2.22
140,317,"La Crosse-Onalaska-Sparta, WI-MN",216389,303835,1134,22.3,2.2
141,144,"Bloomington-Bedford, IN",205958,281670,1454,16.1,2.43
142,145,"Bloomington-Pontiac, IL",205761,240270,1420,14.1,1.9
143,306,"Johnstown-Somerset, PA",202865,133330,873,12.7,1.31
144,101,"Abilene-Sweetwater, TX",195897,205016,1747,9.8,1.85
145,404,"New Bern-Morehead City, NC",193830,339316,1690,16.7,2.83
146,250,"Florence-Muscle Shoals-Russellville, AL",186977,207592,1216,14.2,1.89
147,452,"Rapid City-Spearfish, SD",184027,389903,1396,23.3,2.18
148,480,"Salisbury-Ocean Pines, MD",183881,308449,1874,13.7,2.77
149,308,"Jonesboro-Paragould, AR",183133,199571,1278,13.0,2.33
150,236,"Elmira-Corning, NY",173487,162174,1249,10.8,2.35
151,371,"Middlesborough-Corbin, KY",172880,145659,,,2.01
152,334,"Lawton-Duncan, OK",171015,150004,1063,11.8,1.8
153,512,"Sioux City-Le Mars, IA-NE-SD",170124,238334,1163,17.1,2.31
154,539,"Tupelo-Corinth, MS",166162,184169,1265,12.1,1.55
155,107,"Altoona-Huntingdon, PA",163787,175674,1020,14.4,2.12
156,558,"Williamsport-Lock Haven, PA",150331,224090,1012,18.4,2.09
157,296,"Ithaca-Cortland, NY",149310,301843,1732,14.5,3.8
158,164,"Cape Girardeau-Sikeston, MO-IL",147934,202870,996,17.0,1.54
159,425,"Parkersburg-Marietta-Vienna, WV-OH",146629,174541,976,14.9,2.11
160,242,"Fairmont-Clarksburg, WV",144514,157732,1059,12.4,1.74
161,424,"Paducah-Mayfield, KY-IL",138728,168769,1247,11.3,2.39
162,233,"Edwards-Rifle, CO",133728,1175998,4535,21.6,4.53
163,284,"Hot Springs-Malvern, AR",133042,224761,1199,15.6,2.73
164,359,"Mankato-New Ulm, MN",129876,292843,1327,18.4,1.98
165,248,"Findlay-Tiffin, OH",129231,209803,1289,13.6,2.13
166,523,"Starkville-Columbus, MS",128388,212682,1501,11.8,1.5
167,313,"Keene-Brattleboro, NH-VT",123669,379692,1815,17.4,3.68
168,393,"Moses Lake-Othello, WA",123498,352933,1488,19.8,1.97
169,166,"Carbondale-Marion-Herrin, IL",118847,145738,888,13.7,1.02
170,544,"Victoria-Port Lavaca, TX",118504,219222,1156,15.8,1.45
171,448,"Quincy-Hannibal, IL-MO",113084,193881,1041,15.5,1.66
172,394,"Mount Pleasant-Alma, MI",105486,210785,1063,16.5,2.17
173,361,"Marinette-Iron Mountain, WI-MI",95715,195394,,,2.13
174,458,"Richmond-Connersville, IN",89489,169571,827,17.1,1.97
175,446,"Pullman-Moscow, WA-ID",89313,395874,1239,26.6,1.81
176,221,"Dixon-Sterling, IL",88152,159381,,,1.34
177,161,"Burlington-Fort Madison, IA-IL",76906,135018,,,1.64
178,542,"Union City-Martin, TN",63495,178146,,,2.21
179,555,"Weatherford-Elk City, OK",61044,156389,1056,12.3,1.95
180,152,"Brookings-Crescent City, OR-CA",49885,407041,1822,18.6,1.89
181,517,"Spencer-Spirit Lake, IA",34567,290121,,,2.07
182,364,"Mayagüez-Aguadilla, PR",0,,,,
183,490,"San Juan-Bayamón, PR",0,,,,
184,434,"Ponce-Coamo, PR",0,,,,
